line_id	genre	text
30    	mix	( اليرو هو صغير الكلب اعزكم الله)
31    	comedy	أصدقاء خالد:سبراايز
32    	reality	اي بيت اي بيت اي بيت ماجدة اي بيت بتختارين ؟
33    	comedy	يارا العيارة لا تروحين مكان با صور معاج !!!!!
34    	forum_novels	و الحين انت ...
35    	interview	ولا أحد قال لي "آنا بطلعك، ولا آنا بسوي لك، ولا آنا،" ما في.
36    	play	سلمان: ايه
37    	forum_novels	فيصل : النجس ما يحتاج حق نجاسة فوق نجاسته
38    	cooking	علي: بس اكتشفوا حولت إلى معهد النور للمكفوفين
39    	cooking	أي
40    	drama	مساعد : ايه مردنا بنعرفه و بنعرف مقصده من الحجي .
41    	forum_novels	راسي : على خير انشالله ..
42    	interview	-ااااا إن شاء الله قريب في، في يعني...
43    	forum_novels	** بطلنا سلمان كان مشغوول وايد بسوالف الملجه من خيام واكل و الفرقه و الاغراض اللي ماتخلص
44    	play	حمود: بق بق هه، اتقدم بيت سكان
45    	interview	عِزيني..
46    	forum_novels	تركها و هو يجر وراه اذيال حلم يعانق خياله ..
47    	comedy	--------------
48    	play	وش رايش فيني عمري و انا اسطرها كف
49    	forum_novels	و لكن فكري بدأ بالتشغيل ..
50    	drama	تصدق هالكلاب صارلهم ثلاث أيام ما كلو شي؟
51    	comedy	عبدالشافي(الحواي): انزييين ....
52    	interview	هل تقولين لآي شخص انج بالدرب وقريب توصلين وانتي ليلحين ..
53    	forum_novels	ولا صوت
54    	interview	احمد مبارك: اي اكاه اكاه
55    	monologue	ترتفع
56    	play	حلاتها لا
57    	comedy	لا راحة، لا نوم، لا أكل مثل الناس...
58    	interview	حمود: اجوفه يسطرني اتقول لي ذي
59    	cooking	و فيها مقادير واجد.
60    	monologue	شلون الواقع مو..
61    	forum_novels	بس ما همني ..
62    	cooking	علي: حاليا انا و بعدين راح
63    	forum_novels	هذا فعلا كان من النوع القوي ..
64    	drama	حمود: ما يخالف ما يخالف خلنا نروح نتغدا الحين وعقب نسولف ونشوف لك دبرة الى الحالة الي انت فيها
65    	comedy	تاتا: تا تا تا تا تا ي مشاهديني اليوم يايب لك لبه و زعتر و بدز لكم الحساب
66    	forum_novels	ما عاد فيني صبر ..
67    	interview	تقريبا مئة قصيدة
68    	drama	طالب 1: معقولة يصير في استاذ محمد جذي؟
69    	monologue	صديقني "حناني" راحت مع اختها حليمة اتعلمني واتقول لي اول واخر مرة اسافر مع اختي حليمة.
70    	drama	لان الصبي بيصير عمي و هاذي كله بسبب أوهام الي تارسة راسج لين رفت عينه اليمنى خير و لين رفت عينه اليسرى شر
71    	forum_novels	كم احب البقاء معك في حلم ليلة سرمدي لاينتهي
72    	forum_novels	شريفه واهي تطالع مريم : لا ماشالله عليها مافيها شئ بس الدكتور خلاها ترتاح شوي
73    	interview	المذيعة: واهيا صراحة مجتهدة وايد في اعمال يعني تقدمها.
74    	forum_novels	ما اعرف و لا شيء عنه ..
75    	interview	انزين استاذنا الكريم استاذ مبارك يعني ال الكلام الحلو ان احنا قاعدين نتلكم فيه عن الحركة المسرحية والحركة التمثيلية يمكن ابرز شي يعني ابرز شي ممكن نوقف عنده الممثل البحريني نفسه شنو ممكن تقول لنا استاذ عن الممثل البحريني لما كان ينظر للادوار الي الي يعني كانت تعرض عليه في المسرحيات في الدراما وانت كان يطلق عليك الجوكر يعني ما احلى من لقب
76    	forum_novels	لكن استبقها و مسك مؤخرة راسها ..
77    	interview	صريح يحب يشتغل ابتعاده خساره حق المنتخب و حق النادي
78    	forum_novels	*
79    	drama	ام هلال: الرجال لقى له مره بنت حلال و عرس عليها.
80    	comedy	الحين من فيكم جسوم؟!
81    	interview	ب: اي
82    	comedy	يا عذاري، انا لما اجوفج، اجوف الفريج كله منور.
83    	forum_novels	و من بين سرحاني بأفكاري و تفكيري بأقناعة ما حسيت الا اني بحلبة مصارعة ..
84    	forum_novels	مريم وشريفه يتمشون على البحر والجو كان روعه وبدى الظلام يخيم شوي شوي بس الجو كان يشجع وكانو يركضون ويضحكون مثل اليهال ويلعبون في التراب حتى انه يد مريم و ثيابها صارو كله تراب بس مريم قامت تضحك وتقول في قلبها الله من زمان ما حسيت بالراحه جذي شريفه تعبت وكانت تبي ترجع الغرفه عشان تتسبح وترتاح بس مريم كانت مرتاحه ومستمتعه بالجو الحلو والبحر والقمر الي كان مكتمل ما كان ودها ترجع
85    	comedy	فيها شيء هاذي؟
86    	interview	المذيع: بس يستاهل عصبية.
87    	forum_novels	تفكر فيه ..
88    	interview	عماد: تحية لبو حسام....
89    	interview	خليل: sit اينانو.
90    	drama	أم إبراهيم: "خير؟
91    	forum_novels	مسك يدينها وبدى يسحب معاها واذا تحركت السمكه وقفو سحب لين ماوصلت لفوق زين شافتها
92    	forum_novels	فهد اتصل لزوجته وقالها عن الي صار كانت تتألم من داخل : هذي نهاية الظالم
93    	forum_novels	مريم : اووكي
94    	drama	3 بالبركة إن شاء الله
95    	drama	عثمان: انزين و شنسوي عشان ما تطبع هالجالبوت
96    	comedy	طفاش: كشوخي.
97    	forum_novels	راح احارب كل الناس
98    	forum_novels	سعاد : انشالله يمه ..
99    	folktales	ومن سمعوا الفداويه اللي قاله الشيخ طاروا كل واحد يسابق الثاني حتى يصيدون اليمل وييبونه جدام الشيخ، وكانوا كلهم شباب إلا واحد من بينهم كان ريال شايب ولما حس الشايب بالتعب، وقف مكانه وصار يصرخ ويقول:
100   	drama	تخلين وحدة ثانية تاخذه منج و انتي حاطة يدج على خدج؟
101   	play	خاتون: كتير باكل خربطيشن اليومين دول
102   	interview	المسؤولية تيلس تحاتي لكن طالما الله سبحانه وتعالى منعم علي بهاي الشي وهي فطرة معناتها ما احاتي مثل ما يقولون.
103   	interview	الشيخ عيسى: امرو، آنا ما اقدر اقول لهم لا وبعدين ما في بيني وبين اليمنيين الا كل خير وكل محبة اما العراقيين فهم حساسيين زيادة عن اللزوم.
104   	forum_novels	** روان مثل ماقلنا بسن مريم ..
105   	cooking	نخلي الfat عليه اي
106   	play	بطة: آه
107   	monologue	.
108   	forum_novels	والكل يتصل ويسأل متى بيرجعون بس مريم ماكانت تدري لانهم رايحين في السياره و احتمال في وقت يوصلون
109   	forum_novels	بس مريم ويها كان منصبغ احمرررر ومستحيه ولا قالت كلمه سلمان ماعطاها فرصه وتكلم :
110   	comedy	جسوم: عاد إذا اطبخوا لي في الحلم لأنه ما تدري ساعات يطبخون ساعات ما يطبخون.
111   	forum_novels	الجزء الرابع ..
112   	comedy	يالله معاي!
113   	reality	Majda thought it was wrong to do but I think it was funny.
114   	drama	عويشة : ليش ؟
115   	forum_novels	:::
116   	comedy	مرأة2: تدرون عاد, انا بس خلاص ما مبي شي يلا
117   	play	Bataya
118   	drama	عويشة : ها بس جذي بغيت أعرف .
119   	forum_novels	الله لا يعوزني لك و لا لمساعدتك
120   	forum_novels	وصلت للبحر لقت مشعل في المكان المحدد
121   	interview	رقية: الطفل اقتنع فيك بشخصية معينة..
122   	comedy	يوم بتموتون؟
123   	play	عامر: اقول بس انت اسكت!
124   	forum_novels	رجع فيصل البيت ..
125   	play	ام خليل: احترمني يا خلّودو
126   	forum_novels	المغرورة
127   	comedy	انتوا اصلا بروحكم ما تدرون شنو تبون
128   	interview	المذيع۱: ما علمتنا انك رحت لندن عقبها.
129   	forum_novels	اصلا مايسمحون بالزياره لحالتها ..
130   	play	خالد: اسكت.
131   	forum_novels	سارة : اهلين وناسة وناسة
132   	forum_novels	و كملو سوالفهم ..ضحك و هبال
133   	forum_novels	*
134   	play	ادا انتين تلعبين كوت ابو اربعه، اني العب كوت ابو ستة!
135   	drama	إبراهيم: "مو هاذي اللي اتحجى عنه!
136   	drama	سبت: وعليكم السلام ورحمة الله .
137   	forum_novels	الدنيا الكلها ماتشيل الحزن اللي في هالعايلة بنت وولد في بداية شبابهم والزوج والزوجه !
138   	cartoon	امرأه تساعد في تنميه البلد لا
139   	cooking	علي: في ما بنقول في الفترة الأخيرية الفترة ال..
140   	drama	ام مرزوق: شتسوين؟
141   	forum_novels	همس لابسه فستان فستان نمر الصدر مغطى بس فتحة الظهر تطلع ظهرها كامل مرفعه شعرها شنيون وحاط مكياج سموك صايره جذابه بكل مافي الكلمه من معنى
142   	comedy	بو عذاري: اقعد عدل
143   	monologue	قمت أخش وأجذب علشان عيالي.
144   	forum_novels	بينت له انكساري ..ليش يحسني بلحضة اني يحبني و يخليني ابني اماني و قصور و لحضة يهدم كل هالاشياء و يرجع له جفافه و قسوته ..و دخلت بنوبة بكاء ..مسحت دموعها ..من هو عشان يخلي دموعي تنزل انا محد يقدر ينزل دموعي و ماراح تنزل عشان واحد حقير مسلوب منه الحنان و العطف ..و تمتلكه القسوة و الكره ..و راح اطلب منه الطلاق ..خلاص ما عاد فيني اتحمل قسوته و اهاناته
145   	forum_novels	خلاص ابشري بطلاقهم
146   	forum_novels	دانه تركض صوب الشاطئ تشوف اصداف حلوه وتصارخ : نورووووه شرووف تعالو شوفووو
147   	forum_novels	الي سقطت عليها الدموع ..
148   	folktales	"وين السمجة الثالثة؟"
149   	forum_novels	و لا انا عايفة الزواج و طاريه
150   	forum_novels	خالد : هههههههههه يعني ماشي احترام لعمج ????
151   	comedy	طفاش: انت لو تجوف الحرامي، تعرفه؟
152   	forum_novels	......
153   	interview	انه يعني لازم أثبت وجودي في هذا المسلسل أول مسلسل معاها..
154   	interview	عماد
155   	drama	غ: هذي شي بيد الله مو من حقنا ان نعترض عليه تفضل و الكتب بحطهم لك بكوارتين تقدر تيي تاخذهم في أي وقت
156   	forum_novels	هذي الانثى اتمكنت مني ..
157   	cooking	علي: طبعاً عندنا الليمون الأسود
158   	interview	الحمدلله، لكن الاحتفالات الوطنية لها طعم مختلف فيها لذة غريبة مشاعر ممزوجة بالوطنية، بحب الوطن بالوفاء بالإخلاص كلها تكون موجودة في هاي النوع من الحفلات، لي عتب آنا بما أننا تكلمنا في الفترة الأخيرة في حفلات كثيرة تصير سواء كانت في الفورملا سواء كانت في كذا مكان آنا أستغرب ليش اسم هند ولا عمره انطرح!
159   	comedy	بس مادري يسمعونا.
160   	forum_novels	قمت عنها و تركتها بدون ما التفت لها ..ودي ارجع اضمها و احسسها بالحنان ..
161   	comedy	بقت عندي أعصاب؟!
162   	monologue	شنو اللي ينفعني وشنو اللي يضرني؟
163   	play	غنمة اني؟
164   	forum_novels	معقوله يعني ??
165   	forum_novels	الكل انصدم و منار تيمعت الدموع بعينها حست بالقهر والألم الانظار كلها كانت عليها واهي صايره حمره ومو مصدقه اللي تشوفه
166   	play	فاتحين مقصف مب بيت يا رباب، شنو هالعبو و الربو
167   	cooking	ننزل ملح، نبتدي نحرك، نقصر عالنار شوي وننزل معجون الطماط هاي معجون الطماط ننزله.
168   	monologue	بروح قريضة فاصل و بارجع لكم وبقولكم إلهام شقررت.
169   	drama	ام عبدالله: بو عبدالله شفيك انت جنيت تدفع خمسة دنانير في موس ما تستعمله ولا منه فايدة؟
170   	interview	وبعدين الجزء الثالث اللي يو ويانا وشاركونا،
171   	comedy	عذاري: وانت؟!
172   	forum_novels	هدي حالج مو زين للجنين
173   	interview	اي نعم فف يعني كانت البحرين في ذيك الفترة كانت منارة شعلة
174   	forum_novels	بشر شلونه بوراشد ??
175   	forum_novels	بس يا ترى حامل من من ??
176   	forum_novels	جلسو ع طاولة الطعام الي فيها ما لذ و طاب ..و قعدو يتغدون
177   	forum_novels	الحى منهم ما فيه ...
178   	forum_novels	: شلون يعني في العناية ..
179   	interview	جمعان الرويعي: كان دخل علينه الصف أتذكر توه بداية سنينة
180   	comedy	حجي مكي: سلام عليكم
181   	forum_novels	تلقينه مشغول ويا حرمته عشان جيه تقولين انج ماتدرين عنه
182   	forum_novels	قعدت من الصبح
183   	comedy	صج إن أمنيات هالشياب كانت خرطي لكن لما تشوف الفرحة على وجوههم تعرف معنى إن يكون عندك حلم وتسعى إنك تحققه و مثل ما قال بو شريف ..
184   	interview	واحنا مسلسلنا كان وايد بسيط،
185   	comedy	ام عذاري: بو عذاري؟
186   	cartoon	اعد النظر
187   	forum_novels	اخذله شور سريع يرد له حيويته و نشاطه و طير النوم من عيونه ..
188   	comedy	طفاش: شدور انت؟
189   	drama	انا ما خسرت المدرسة بس السبب هل بلوة الي طاحت علي انا خسرت الي اهم انا الاحين شلون أقدر اجوف سلوى
190   	drama	شتبي متصله هالحزة؟
191   	interview	عماد: هل الجمهور انه له حق يتدخل في خصوصيات أي ممثل.
192   	play	الملحن : ششششش
193   	drama	مبروك: أنا في الليل بقعد ناطور في العمارة لأن الله يسلمك العم بو مهنى يقول ان البوقات هالايام زايدة في السوق واهو من زمان يدور له واحد قوي مثلي انا يشغله عنده ناطور
194   	drama	مسعود: أنا من اليوم اسمي النوخذة مسعود
195   	play	ويش ليش بالبيت؟
196   	drama	مبروك: بالعدال
197   	comedy	حجي مكي: صلوا على النبي يا جماعة الخير.
198   	drama	وانا مب عارفة اخد من وأخلي من!
199   	play	عبدالله :الملعون
200   	forum_novels	تعبت من تعبي ..
201   	drama	الرقي: ها يالمعفن، شلونك؟
202   	comedy	أبو يوسف: مسامحة طال عمرك مسامحة هذا واحد مجنون شارد من الطب النفسي ما يجوف واحد إلا يقول ليه بو شيخة و يفكره رفيقه يعني مسامحة..
203   	play	عامر: اوكي
204   	cooking	علي: إذا جاء الزبون وسألني، أقوله أنا ماخذ هالشكل وماخذ هالشكل وماخذ هالشكل
205   	drama	جدة مهدي:هذا الي انا طالبتنه منكم, انتوا مثل ما تعرفون انا مرة عودة اذا عشت ليه اليوم ما بعيش ليه باجر.
206   	play	خاتون: اي
207   	forum_novels	مت وانه اتصل والله خفت فيج شئ ???!!
208   	comedy	هلال: اوه واجد حسابك
209   	drama	ساعدوني!
210   	forum_novels	طبعا مريم ماكانت تحس باللي قاعد يصير
211   	play	خاتون: اند يور داك بطتي هاو يو كونكشن توقذر؟
212   	drama	هدى: بس ابوي كنه ما يعرفك.
213   	interview	يمة منكم يالشباب..
214   	play	زهير: وش صاير وش صاير؟
215   	drama	اسمع يا اخوي يا ابو محمد ..
216   	play	أحمد : حاضرين
217   	play	لا شوارع عدلة ولا باركات ولا بيوت مثل الأوادم .
218   	forum_novels	مسحتها بعنف ...
219   	forum_novels	دخلت ماريا الجناح ..
220   	cooking	يعني أي شي متوفر عندكم.
221   	drama	المصلح : و عليكم السلام هلا هلا مبروك يا هلا حياك الله حياك الله اقلط حياك
222   	play	رباب: هني السلمانية
223   	drama	مهدي : اي عجل ماميش اله تشوف أحد من هلي يروحون بومباي تطرشها وياه يصلحونها ليك هناك.
224   	drama	حسين: هييه شهرين واحنا من هير الى هير من الفجر لي المغرب شقى وغربال وماجود علينا يا بحر الا بسحاتيت قيمتها ماتسد ماجلة الجزوة لاحول ولا قوة الا بالله العلي العظيم
225   	drama	الحياة صعبة يا شمشوم بس الواحد لازم ياخد حقه.
226   	drama	ماشي و لا ادري و انا قاعد على جمري
227   	forum_novels	فيصل ..
228   	comedy	القاضي: هدوء هدوء
229   	interview	خليل: هذي مب دوري خلني عاد في البحرين هاي يمكن أتلاتيكو
230   	drama	________
231   	forum_novels	روان عصبت : مريم لو سمحتي حياتي وانا حرة واذا خبرتي احد والله لاتلومين الا نفسج ..
232   	folktales	قام وقال حق الصايغ:
233   	play	تمبى تيلفون عطيتك تيلفوني
234   	play	زهير: خالي
235   	monologue	قلتلها اي
236   	reality	تعال ما يصير ما يصير جدي
237   	forum_novels	مريم تفجأت : تتقدم لي ??
238   	drama	ها و ليش ماي يصير طال عمرك
239   	forum_novels	وهما طالعين من المحل ....
240   	forum_novels	قمت بفراشي بكسل ....
241   	drama	مساعد: نسامحه ؟!
242   	drama	يا ليتج تدرين باللي فيني جان مالمتيني.
243   	forum_novels	لا تسأليني ما الدليل
244   	play	..
245   	interview	محمد: الله.
246   	interview	عماد: تقعد تطالع العالم جذي
247   	interview	المقدم : من إخراجك
248   	forum_novels	الوداع يا الغالية ..
249   	drama	مهدي : أحسنت.
250   	forum_novels	زين الي كانت منسدحه على سرير اختها ومندمجه تقرا روايه جديده فزعت من صوت اختها: شفيييييج خرعتييني !!
251   	interview	(و): مو متمكن له ما مستحيل يركب.
252   	interview	مصطفى: لا لا ما سويت
253   	interview	أ: ها؟
254   	monologue	ما خافو الله
255   	drama	مسعود: انزين و ثلث الزولية بروحه ايطير؟
256   	interview	ومن ذاك الوقت انا حاولت ان انا ما امثل ومرة بعد في البحرين مثلت مرة كذي موب قوي لكن بعد مثلته لكن على مضض مثل ما يقولون .لكن بعد جتني اتصالات من الأطفال وأولياء الأمور.
257   	monologue	يالله يالله راح وزار ابوه، عقب طلع ابوه والحمدلله الله حفظه وسلمه ورجع البيت.
258   	drama	قوم خلنا نجلس وية الربع.
259   	monologue	و اقوم و اييبهم
260   	folktales	"يمه يمه آنه بنتج، لا تحرقيني"،
261   	comedy	جاسم: اي الله يسلمك ذكر يقولك عنده خطه تفك الفريج من الحمار
262   	forum_novels	خلاص جروح انحفرت في ثنايا اضلاعي ..
263   	comedy	ملا علي: السلام عليكم و رحمة الله
264   	play	جاي تشتري مينو انت؟
265   	cooking	ااه تقديري.
266   	play	ها؟
267   	drama	زيزال فتحي عيونج وشوفيني أنا سعدون.
268   	forum_novels	شنو باقول لأهلي ??!
269   	forum_novels	فلاحظ ان النسيان انسب حل للعيش في حياة هانئة و سعيدة ..
270   	comedy	طفاش: جسوم اسكت, خلني بعد ارقد بس شوية بس خمس دقايق
271   	play	زهير: صغير بعد
272   	interview	عماد عماد عماد عماد عماد،
273   	forum_novels	شريفه : يالله
274   	comedy	اعطي بو داوود حسابه، واعطي حجي مكي مرة وحدة
275   	interview	هو مافي أصعب دور ..
276   	drama	بشير : اي بس كذي انا ما بصير رجال تكانة
277   	forum_novels	من ورى النظاره غمض عين وحده وركز على الهدف ....
278   	forum_novels	روان كانت تسمع واهي بتموووت من الغيض ..
279   	forum_novels	فوق شينه قواة عينه ..
280   	interview	بس في حب اخر يمكن ان احيانا يدخل قلب الانسان و يغير فيه احيانا حب يرفع و حب ينزل
281   	forum_novels	اعتلى صوتي اكثر و اكثر ..
282   	cooking	علي: صار الحمص جاهز الحين
283   	play	حمود : هاا جفت دعاية مشلان مال التواير ؟
284   	cooking	علي : الحين ايي
285   	drama	ما ادري
286   	cooking	علي: نجرب
287   	forum_novels	فتح الريكورد وضربها على كتفها : يلا تكلمي
288   	interview	-بالضبط، اهو اي، يعني اهما شايفين إن هذي خطهم
289   	forum_novels	سعود : اكبر خطأ سويته اني ما عرفتج من البداية
290   	forum_novels	مريم بصوت خافت : يكون احسن
291   	cartoon	يا الثقيل مايعطوني خط هذا الي قاصر انا اراويك
292   	forum_novels	منار : ماشاء الله على بنت ام سلمان غاويه
293   	monologue	ام عبدالله
294   	forum_novels	حياتهم راح تكون ويا بعض مصيرهم ويا بعض
295   	drama	سكرتير بو طلال: هذي حمام مو مكتب المدير
296   	drama	بيبي: كل هذي عشان تضحكون عليي؟
297   	forum_novels	اففف شنو هالحاله
298   	forum_novels	باس راس امه و ابوه و جلس جنب اخته جنى
299   	drama	سعود: ماعندي شي
300   	forum_novels	كل واحد فيهم تفجر فيه احاسيس ماكانت موجوده قبل
301   	comedy	كابتن(2): برج المراقبة!
302   	interview	-لا اهما مسوين لي مشاكل مو آنا مسوية لهم مشاكل.
303   	forum_novels	ترى محد بيغصبج على شئ ماتبينه
304   	play	حمود: المنفلت.
305   	monologue	احنا فنادق فايف ستار
306   	drama	احنا البشر عندنا عجايب ما تصدقها يا شمشوم.
307   	comedy	بو شاهين: إي..
308   	interview	ب: انزين
309   	play	أ: أنا إمي
310   	forum_novels	روان : تشابه من ?
311   	drama	راشد: من البيت الي عيشتنا فيه.
312   	drama	هلا مريم...
313   	play	تفضل يبه حي الله سمير حياك حياك ..
314   	forum_novels	ريناد : و بصفتي منو عشان امك تجوفني .
315   	drama	مبارك ابو نوح: اقول ..
316   	drama	سعدون : أستاذ ساعات ماقدر آفهم بالضبط شنو تقصد ..
317   	drama	ابن ادم يا ام هلال – ما ياخذ الا نصيبه اللي انكتب له.
318   	forum_novels	و جلست على الكرسي محاذية امها
319   	comedy	بو عذاري: لا معليه, معليه, معليه شخبار رفيجنا؟
320   	forum_novels	*
321   	drama	بو عيسى: يتعايون وكل واحد فيهم أوصخ من الثاني.
322   	drama	زهرة: "والله شاقول لج يا خالتي؟
323   	interview	عماد: يا مرحبا طبعا مشاهدينا الكرام من ناحيتي الشخصيه يعني انا اتشرف ان في السيره الذاتيه لي دخل لكم ضيفي حمود سلطان هذه شرف كبير لي ز
324   	cooking	أفنان: شلونك
325   	play	الدكتور: يلا عاد يلا
326   	drama	مسعود: بس انت على حياة عمي الله يرحمه
327   	forum_novels	ام سارة : دموع الفرح يابو سارة ..
328   	folktales	" لازم تآكلين يهازج ويوازج كله" ،
329   	forum_novels	*
330   	forum_novels	تأففت بأستسلام ودشت البيت تريا سلمان يوصل
331   	interview	رقية: الي أهوا؟
332   	cooking	علي: لازم نكمل الـ...
333   	interview	الا آبي أعرفه ليش ما يبتدي الشغل في المناطق حواللين المدارس و المنطقة التعليمية بالتحديد الا بعد نص الصيف...
334   	drama	وينهم ؟
335   	comedy	بو سالم: انت اول اسمع الشرط بعدين وافق انتوا اصلا اشكالكم مو عاجبتني شلون بقول لكم الشرط ما ادري مدير التسويق لازم يكون مو مهتمل مهندم.
336   	forum_novels	لولوه : ايه ادري يالله لاتبطي
337   	comedy	اي وي هاف ا ديل اوف كورس
338   	interview	عماد: ايواا
339   	play	خاتون: احلف بالله
340   	play	بطة: يطلق مين يالمرحوم!
341   	forum_novels	لقيته مقفول ..
342   	forum_novels	اكرهك من كل قلبي
343   	comedy	شعبالك انا مطراش
344   	forum_novels	..................................................
345   	drama	انا بروح اباري الحضرة
346   	play	الدكتور: و آنا شعلي منكم انتم متعادلين خل يدش خل نعالجه
347   	forum_novels	بو شريفه كان حاس ان شريفه بترفض مثل كل مره ..
348   	forum_novels	روحو له ...
349   	interview	هذي من المونولوجات الي كتبها عتيق سعيد.
350   	interview	(ف): شوي شوي تتطور بعد اهي-
351   	forum_novels	انشالله نقدر ..
352   	comedy	أمين: مب تعكسهم!
353   	interview	وأنت كذلك من الفنانات يعني، أو يمكن إذا صح القول أن من أوائل الفنانات اللي مثّلت مع سيدة الشاشة الخليجية، أم سوزان طبعا.
354   	drama	إبراهيم: "و شنو السالفة الي بتأنسها؟"
355   	forum_novels	داعب خشمه رائحة عطرها ..
356   	interview	المذيع۲: التكتوك الي ابو ثلاث تواير.
357   	forum_novels	انتي الي رميتي نفسج علي ..
358   	play	العم/الخال حسن: اي
359   	drama	عثمان: بس شنهو بعد؟
360   	forum_novels	ترررن تررررن
361   	play	مفطس الجراجير: قومي رباب صدق عبالش يجدب مو متخيسين له هكو الكل شاهد قومي خنقتينه في السيارة و الحين بتخنقين المستشفى قومي
362   	forum_novels	هزيت راسي بالنفي ..
363   	forum_novels	والله ماقدر اتخيل انج في غرفة العمليات والاجهزه عليج وانتي بخطر لا مريم ماقدر خليني انه بتبرع له بس انتي لاتتبرعين
364   	forum_novels	ماكنت متوقعة انه بهذا الشكل و بهذا الجمال ..
365   	drama	بشير: لا لا لا انا مب جاي معاكم انا بقول حق امي طول الله في عمرها إني بروح حق يعقوب الله يحفظه شوي عندنا شغل بنروح نجلس مع بعض
366   	play	الملحن : ييييييه خرعتنا بالمخرج عاد حده معصب علي ترا يبه احنا ما نخاف
367   	forum_novels	انا بنت خالج حسبت اختج ..
368   	mix	ماعرف التكملة نسيت
369   	monologue	خطبة ناس رشحوني له والله يسامحهم اللي رشحوني له.
370   	forum_novels	وساره خذت لها من مطعم صيني (تحب الاكل البنت )
371   	forum_novels	و آه من صدره ..
372   	play	الناس صبح
373   	interview	ب: كنت في اجتماع
374   	forum_novels	ليسري دم ينطق بأسمها ..
375   	interview	عماد: أي قبل مب هذه الاضاءة و التطور ذي
376   	drama	صفاء: عيل شلون يرضى أن يجرحج؟
377   	folktales	رد عليه التاير: "وشلون عرفت اطلبي ؟"، قال الريال الفقير:
378   	play	حميد: خوك ما أدري وش صار فيني عقب ما شربت من شاي مالك
379   	drama	خديجة: و انتا ماجمعت لا شي له.
380   	forum_novels	غادرت المكان و انا متضايق ..
381   	comedy	حلاه..
382   	drama	مهدي: ابو سعد انتا اعمى نسيت و الله شلون
383   	drama	ان شاء الله اشوا؟
384   	forum_novels	و من بين ضحكها ..
385   	drama	أبو محمد: (unclear) تودين له الشاي.
386   	interview	(ف): آنا يعني دائما عندي سؤال في البداية، ولكن سؤال شوي يعني بعوّر قلبك نوعا ما.
387   	interview	قلت الحين توني في الإذاعة الحين وفي الاعلام.
388   	forum_novels	سارة : ماشي يا قلبي ...
389   	interview	صلاح عبدالمجيد: عادي
390   	drama	لا جاي من صوب الديرة
391   	forum_novels	تحبس جرورحها ..
392   	interview	(أ): بغيت اعطيكم نبذة عن بنتي وفاء.
393   	drama	جسمان: بال ولا صورة في ذي شلون يقرؤونه!
394   	monologue	سيما: يعني بتصير ترند تخيل
395   	drama	امرأة ٣: اي جاهز.
396   	interview	المذيعة: يعني أخوان وخوات هذي المجموعة صرتوا تعرفون حق بعض كل واحد متعود على الثاني.
397   	comedy	بخيت: تعالي!
398   	play	العم/الخال حسن: اي قصيدة.
399   	comedy	اقبض عليه!
400   	forum_novels	ريناد قاطعته : اسمك زوجي ..
